versioned_name,base_name,version,status,bucket,category,relevance_score,group_name,title,abstract,datatracker_url,date_seen,error
draft-abak-ai-evaluation-claim-preservation-00,draft-abak-ai-evaluation-claim-preservation,0,new-draft,monitor,authorization,5,none,Claim-Preserving Exchange of AI Evaluation Evidence,"AI evaluation records can pass through evaluation frameworks,
   exporters, evidence services, independent reviewers, and systems that
   make decisions.  A conversion can retain a score while losing whether
   the measurement ran, which result was selected, whether a criterion
   existed, or which evidence was unavailable.  Authenticating the
   converted record does not recover these distinctions.

   This document specifies format-neutral requirements for mapping
   profiles and consumers that exchange AI evaluation evidence.  It
   separates source assertions, explicit derivations, and later policy
   judgments; requires claim-relevant loss and uncertainty to remain
   visible; and describes consumer behavior when preservation cannot be
   established.  It includes synthetic counterexamples and guidance for
   composition with existing evidence mechanisms.  It defines neither a
   wire format nor an evaluation benchmark, safety certification,
   authorization protocol, or new cryptographic envelope.  A concrete
   mapping profile is needed for interoperable implementation.",https://datatracker.ietf.org/doc/draft-abak-ai-evaluation-claim-preservation/,2026-09-24,
draft-ahuja-agent-routing-policy-00,draft-ahuja-agent-routing-policy,0,new-draft,read_now,authorization,7,none,A Policy Grammar for Inter-Domain Agent Routing,"Agent tasks are delegated across organizational boundaries.  Existing
   work specifies how agents are identified, discovered, and described,
   states requirements for cross-domain isolation and authorization, and
   identifies the absence of a mechanism for expressing capability
   policy as a gap.  This document defines four policy attributes for
   inter-domain agent delegation, the declarations each attribute
   carries, and a validity condition on delegation chains that no party
   establishes by observing the whole chain.  Whether independently
   chosen policies converge is analysed in separate work.",https://datatracker.ietf.org/doc/draft-ahuja-agent-routing-policy/,2026-09-24,
draft-atakora-sadp-protocol-02,draft-atakora-sadp-protocol,2,new-draft,read_now,agent_identity,9,none,The Secure Agent Delegation Protocol (SADP): End-to-End Encrypted Task Capsules for AI Agent Systems,"This document specifies the Secure Agent Delegation Protocol (SADP),
   an experimental end-to-end encrypted communication layer for user-to-
   agent and agent-to-agent workflows.  SADP defines task capsules:
   signed, encrypted, individually routable protocol objects that carry
   agent tasks, tool invocations, and results across untrusted brokers,
   queues, and orchestration infrastructure.  SADP provides asynchronous
   session establishment using signed prekey bundles, per-message
   forward secrecy and post-compromise recovery through a Double-
   Ratchet-style message ratchet, an optional hybrid post-quantum key-
   agreement profile based on ML-KEM-768, and an authenticated opaque-
   broker profile with replay protection.  SADP is transport agnostic
   and is designed to be carried over HTTP, message queues, and existing
   agent protocols such as A2A and MCP without requiring those systems
   to be trusted with plaintext task content.  Capability-based
   delegation semantics and scoped context disclosure are specified in a
   companion document.",https://datatracker.ietf.org/doc/draft-atakora-sadp-protocol/,2026-09-24,
draft-atakora-wimse-sadp-delegation-01,draft-atakora-wimse-sadp-delegation,1,new-draft,read_now,agent_identity,12,none,Capability-Bound Delegation Chains with Scoped Context Disclosure for AI Agents,"Autonomous AI agents increasingly act on behalf of users and of one
   another, passing tasks, documents, tool access, and authority across
   chains of delegation.  Existing delegation-token systems express and
   verify attenuated authority, but they assume the delegation evidence
   and the task content are visible to the infrastructure that carries
   them.  This document specifies a capability grant format, delegation-
   chain construction and verification rules, a caveat processing model,
   and a hash-linked audit record format designed to bind authority to
   end-to-end encrypted task capsules, so that authority can be verified
   and delegation lineage can be checked relative to an authenticated
   chain head without exposing task or context plaintext to brokers,
   queues, gateways, or orchestration services.  It further specifies
   scoped context disclosure: a model in which a delegatee receives
   cryptographic access to only the subset of task context that its
   capability names.  This mechanism complements, and is intended to be
   reconcilable with, the delegation chains defined in draft-asor-wimse-
   agent-delegation-chain.",https://datatracker.ietf.org/doc/draft-atakora-wimse-sadp-delegation/,2026-09-24,
draft-augustyn-intarea-ipref-08,draft-augustyn-intarea-ipref,8,new-draft,ignored_after_review,ignored_after_review,0,none,IP Addressing with References (IPREF),"IP addressing with references, or IPREF for short, is a method for
   end-to-end communication across different address spaces normally not
   reachable through native means.  IPREF uses references to addresses
   instead of real addresses.  It allows to reach across NAT/NAT6 and
   across protocols IPv4/IPv6.  It is a pure layer 3 addressing feature
   that works with existing network protocols.

   IPREF forms addresses (IPREF addresses) made of context addresses and
   references.  These IPREF addresses are publishable in Domain Name
   System (DNS).  Any host in any address space, including behind NAT/
   NAT6 or employing different protocol IPv4/IPv6, may publish IPREF
   addresses of its services in DNS.  These services will be reachable
   from any address space, including those running different protocol
   IPv4/IPv6 or behind NAT/NAT6, provided both ends support IPREF.

   IPREF provides much needed IPv4/IPv6 compatibility for the de facto
   mixed protocol Internet.",https://datatracker.ietf.org/doc/draft-augustyn-intarea-ipref/,2026-09-24,
draft-avrilionis-satp-artefacts-registry-01,draft-avrilionis-satp-artefacts-registry,1,new-draft,ignored_after_review,ignored_after_review,0,none,Artefacts Registry,"This memo describes the Artefacts Registry for Asset Exchange API.
   The Registry is a component that exposes an API allowing gateways to
   fetch information related to the SAT protocol.  Examples information
   stored in the Artefacts Registry are network identifiers, entities
   identifiers, asset profiles, or asset instances.  Registries are are
   acting as persistent storage locations for records.  Once registered,
   records can be updated in an append-only manner.",https://datatracker.ietf.org/doc/draft-avrilionis-satp-artefacts-registry/,2026-09-24,
draft-avrilionis-satp-setup-stage-05,draft-avrilionis-satp-setup-stage,5,new-draft,ignored_after_review,ignored_after_review,0,none,SATP Setup Stage,"SATP Core defines an unidirectional transfer of assets in three
   stages, namely the Transfer Initiation stage (Stage-1), the Lock-
   Assertion stage (Stage-2) and the Commitment Establishment stage
   (Stage-3).  This document defines the Setup Phase, often called
   ""Stage-0"", prior to the execution of SATP Core.  During Setup, the
   two Gateways that would participate in the asset transfer are bound
   together via a ""transfer context"".  The transfer context conveys
   information regarding the assets to be exchanged.  Gateway can
   perform any kind of negotiation based on that transfer context,
   before entering into SATP Core",https://datatracker.ietf.org/doc/draft-avrilionis-satp-setup-stage/,2026-09-24,
draft-bertoldi-regext-rdap-reliability-scoring-04,draft-bertoldi-regext-rdap-reliability-scoring,4,new-draft,ignored_after_review,ignored_after_review,0,none,RDAP Extension for Structured Reliability Assessment Metadata,"This document defines an extension to the Registration Data Access
   Protocol (RDAP) that enables the representation and exchange of
   structured reliability assessment metadata for registrars and domain
   names.  The extension defines a structured assessment envelope
   through which an RDAP server can expose assessment results produced
   by a registry, registrar, or third-party assessor in a common,
   machine-readable format within RDAP responses.

   The extension standardizes how assessment results are transported and
   referenced, not how they are computed.  Scoring methodologies,
   thresholds, criteria, and governance frameworks are intentionally
   left to the operational and policy layer.  This document does,
   however, place requirements on the specification of any scheme whose
   results are intended for publication through RDAP, because publishing
   an evaluative judgement about an identified party without safeguards
   for notification, remediation, and contestation is not a safe
   practice.",https://datatracker.ietf.org/doc/draft-bertoldi-regext-rdap-reliability-scoring/,2026-09-24,
draft-bormann-jwp-modular-bbs-03,draft-bormann-jwp-modular-bbs,3,new-draft,read_now,verifiable_claims,14,none,BBS and Modular Sub-proofs with JSON Web Proofs,"This document defines a digital credential format that uses JSON Web
   Proofs (JWP) as its container format and Blind BBS Signatures as its
   signature scheme combined with a modular framework for attaching
   zero-knowledge sub-proofs.  This allows a Holder to reveal some
   attributes directly while proving predicates such as range or
   equality over the ones they keep hidden.  A credential can
   additionally be bound to a Holder-held device key, with possession of
   the key proven in every presentation without revealing the public key
   or signature.  Concrete sub-proof and device-binding constructions
   are not defined in this document, only the core serialization.  The
   credential type definition and data model follow SD-JWT VC.",https://datatracker.ietf.org/doc/draft-bormann-jwp-modular-bbs/,2026-09-24,
draft-bryce-cose-receipts-mmr-profile-03,draft-bryce-cose-receipts-mmr-profile,3,new-draft,monitor,verifiable_claims,5,none,COSE Receipts for MMRs,"This document defines a new verifiable data structure type for COSE
   Receipts [I-D.ietf-cose-merkle-tree-proofs] specifically for use with
   ledgers based on post-order traversal binary Merkle trees and which
   are designed for high throughput, ease of replication and
   compatibility with commodity cloud storage.

   Post-order traversal binary Merkle trees, also known as history
   trees, are more commonly known as Merkle Mountain Ranges.",https://datatracker.ietf.org/doc/draft-bryce-cose-receipts-mmr-profile/,2026-09-24,
